nid,catalog_symbol,component,module,library,cluster,priority,confidence,abi_summary,return_error_contract,output_state_contract,implementation_gate,function_entry,function_body_addresses,instruction_count,function_body_sha256,decompile_sha256,decompile_completed,evidence_file
uWyW3v98sU4,sceKernelCheckReachability,Kernel,libkernel,libkernel,kernel_path_reachability,high,medium,int32(const char *absolutePath),Null/non-absolute/malformed path returns 0x80020002; full deep decompile is attached,"Canonicalizes repeated slash, dot, and dot-dot components in a 0x401-byte work buffer; no caller output buffer","Implement complete path walk and terminal error mapping from deep evidence, not blind success",00017560,611,148,a2efce6845a67ad89c308c68659c084ad12efb15ebaeba0d1347df26dbb86425,11bfbf58b449a95bb0d4b924bbaa6a8e3db2842642b17c6894cd2427e7ca448e,true,remote-results/kernel-variants-40x2/job-011/evidence.json
cfwBSQyr5Ys,sceKernelDebugWriteCppExceptionInfo,Kernel,libkernel,libkernel,kernel_cpp_exception_diagnostics,low,high,"void(uint64 p1, uint64 p2, uint64 p3, uint64 p4)",No return value; diagnostic channel failures are ignored after the first gate,"Writes command 0x23 records tagged 1, then optional tags 2/3/4 for nonzero argument groups",A documented no-op is semantically defensible only if SharpEmu intentionally omits the diagnostic sink,0002a150,255,64,d0d2141e4b9292f4b75c1ad4f2ee4f4d048d8ecc649e23cb79832acf2b3f21d5,2c5caddc2c882baf1d0599740be2b9463ff54a3f936f7c50773af0a310e71799,true,remote-results/kernel-variants-40x2/job-012/evidence.json
-YTW+qXc3CQ,sceKernelInternalMemoryGetModuleSegmentInfo,Kernel,libkernel,libkernel,kernel_module_segment_info,high,medium,int32(void *outTwoQwords),Wrapper returns zero unconditionally after helper call,Calls helper with out and out+8; both eight-byte outputs are required,Recover helper AmJ0mn2l4lM before implementation; zero without writes is forbidden,00034140,17,7,ac6a5b1a61e09ca863ac14554dc1ab75eb91d12bd226749242ce1724e007729c,579666ecc2d27f84e4ea8fdfa35d7f711648aa1825ff43c37c6f545addf1cdf6,true,remote-results/kernel-variants-40x2/job-013/evidence.json
3k6kx-zOOSQ,sceKernelMlock,Kernel,libkernel,libkernel,kernel_errno_translation,medium,high,Standard mlock/utimes SysV ABI; wrapper forwards arguments,Nonnegative raw result passes through; failure maps errno to 0x80020000 + errno (zero errno -> zero),mlock changes memory-lock state; utimes changes filesystem timestamps,Validate guest range/path and preserve error mapping,000156b0,35,14,dba1840c14832c0c74906241e48a9873e424a1e4a75f5604d6f1769118ad2a4a,f599073a0dc553c2b9b9ec71609de3c992361c6be92cd231dafa91a771895425,true,remote-results/kernel-variants-40x2/job-000/evidence.json
0Cq8ipKr9n0,sceKernelUtimes,Kernel,libkernel,libkernel,kernel_errno_translation,medium,high,Standard mlock/utimes SysV ABI; wrapper forwards arguments,Nonnegative raw result passes through; failure maps errno to 0x80020000 + errno (zero errno -> zero),mlock changes memory-lock state; utimes changes filesystem timestamps,Validate guest range/path and preserve error mapping,000172c0,35,14,874915587c7e93e3b8afc54c11c2c45b1aeb12cc3b4651b33874ab68542bbcb4,8bdbba2fa9b3c3377cd1b3bf69e1e19ca4531a9ba584d8615153d6f007e3784a,true,remote-results/kernel-variants-40x2/job-001/evidence.json
IafI2PxcPnQ,scePthreadMutexTimedlock,Kernel,libkernel,libkernel,kernel_pthread_mutex,high,high,"int32(mutex *, const timespec *)",Underlying zero passes through; nonzero errno becomes 0x80020000 + errno,Acquires mutex or times out; must integrate with SharpEmu pthread ownership/wait state,Stateful synchronization contract required,000149c0,22,8,6d9b41b44f5db99e16062b022961647ed06d387af56d6e1aadf7a2d3a1a55f8f,1b2d080a00cb4af08491ff4fa5adc452b26c3b618c27e4bf53023134809d7689,true,remote-results/kernel-variants-40x2/job-002/evidence.json
VADc3MNQ3cM,signal,Kernel,libkernel,libkernel,kernel_signal,high,high,"handler(int signalNumber, handler newHandler)",Returns previous handler; failure returns pointer -1,"Builds a sigaction, initializes mask, conditionally sets flag 2, and installs handler",Use SharpEmu signal state; do not return invented success,000113a0,126,38,91ff45bf02c64e0085a25060b1f13a7db57e83cd177dd9b1ca9a29028df1d5fa,6e8930c17b2b3b03527b646c5d2e598eb09bf04284d58d34af99f0d583349264,true,remote-results/kernel-variants-40x2/job-003/evidence.json
VAzswvTOCzI,unlink,Kernel,libkernel,libkernel,kernel_posix_syscall,medium,medium,Standard named POSIX ABI; Ghidra proves a direct syscall/error-helper wrapper,Raw syscall result; carry/error path enters the shared errno helper,Preserve the named OS operation and its output/state effects,"Model standard operation and errno; decompiler constants are syscall IDs, not success returns",00000480,24,7,c46cc716e597ee4003baf5a755f0f7042247d08ba121a762b527bbf2fc3c7ce8,139d8d69001cdaa2d9a89fa7cd1cefd40bccf068220160d2634995fc82825f0b,true,remote-results/kernel-variants-40x2/job-004/evidence.json
TXFFFiNldU8,getpeername,Posix,libkernel,libScePosix,posix_networking,high,medium,Standard named socket ABI; exact Ghidra body/decompile attached,Returns POSIX result or -1 with errno; recvfrom/sendto include cancellation bookkeeping,Socket state and guest buffers/length pointers must be updated exactly; inet_ntop writes text output,Use SharpEmu socket handles and guest-memory validation; never return syscall-number constants,000005e0,24,7,5d66365599c575b365c18efb2af0a27146f33175519e8a65a38889be3b4a7a65,6e37deb476d6d63fc27a107b3ac20e32c72a9f00d4037f4f959d381b3a0dd108,true,remote-results/kernel-variants-40x2/job-005/evidence.json
6O8EwYOgH9Y,getsockopt,Posix,libkernel,libScePosix,posix_networking,high,medium,Standard named socket ABI; exact Ghidra body/decompile attached,Returns POSIX result or -1 with errno; recvfrom/sendto include cancellation bookkeeping,Socket state and guest buffers/length pointers must be updated exactly; inet_ntop writes text output,Use SharpEmu socket handles and guest-memory validation; never return syscall-number constants,00000b80,24,7,b524514b4cd1ff661aee858c67b196954fd0043769de24e494b99c0c9d7a9fa5,be7b6d6759a36a20ace8d46e715d0ce42df0efae4d688910f25ccf2f2002fe47,true,remote-results/kernel-variants-40x2/job-006/evidence.json
5jRCs2axtr4,inet_ntop,Posix,libkernel,libScePosix,posix_networking,high,medium,Standard named socket ABI; exact Ghidra body/decompile attached,Returns POSIX result or -1 with errno; recvfrom/sendto include cancellation bookkeeping,Socket state and guest buffers/length pointers must be updated exactly; inet_ntop writes text output,Use SharpEmu socket handles and guest-memory validation; never return syscall-number constants,000121d0,1344,348,0d6a9906028a8e6c9ace71fd6c988e3bf4c2ba110ec990fb7c18676a075439f8,2699840ce7d193f9f00df5ec94daf0a2295fb74d1094440b545d9f45bf2f201d,true,remote-results/kernel-variants-40x2/job-007/evidence.json
Ez8xjo9UF4E,recv,Posix,libkernel,libScePosix,posix_networking,high,medium,Standard named socket ABI; exact Ghidra body/decompile attached,Returns POSIX result or -1 with errno; recvfrom/sendto include cancellation bookkeeping,Socket state and guest buffers/length pointers must be updated exactly; inet_ntop writes text output,Use SharpEmu socket handles and guest-memory validation; never return syscall-number constants,00012db0,11,3,36d8bc5ee3b53b6f870ae25a0fd2622bae7eb2903b82716a30fc3aaf00956d4b,c53a3f59a2c7fff42c455ace23e7bb4c02d2f51a40073e3c3323c797b8ecb87b,true,remote-results/kernel-variants-40x2/job-008/evidence.json
lUk6wrGXyMw,recvfrom,Posix,libkernel,libScePosix,posix_networking,high,medium,Standard named socket ABI; exact Ghidra body/decompile attached,Returns POSIX result or -1 with errno; recvfrom/sendto include cancellation bookkeeping,Socket state and guest buffers/length pointers must be updated exactly; inet_ntop writes text output,Use SharpEmu socket handles and guest-memory validation; never return syscall-number constants,0000e9b0,116,39,16c6cb2b51baabf91422c56c3af7134250f79d8211ed426fb9e2f2abbe85074d,e55e2781993a1e2a8397ea9395f3cfd1e43d0f069e414798bb04b4f7f9f51c63,true,remote-results/kernel-variants-40x2/job-009/evidence.json
fZOeZIOEmLw,send,Posix,libkernel,libScePosix,posix_networking,high,medium,Standard named socket ABI; exact Ghidra body/decompile attached,Returns POSIX result or -1 with errno; recvfrom/sendto include cancellation bookkeeping,Socket state and guest buffers/length pointers must be updated exactly; inet_ntop writes text output,Use SharpEmu socket handles and guest-memory validation; never return syscall-number constants,00012dc0,11,3,bf34525f00582def2830411794676db0c6ed31c17c7c26ef21ba8dab250a3e8e,dd47144016fcfe2897a8a0416eb495c11e1e155712d367dd8391dac900da7e1d,true,remote-results/kernel-variants-40x2/job-010/evidence.json
oBr313PppNE,sendto,Posix,libkernel,libScePosix,posix_networking,high,medium,Standard named socket ABI; exact Ghidra body/decompile attached,Returns POSIX result or -1 with errno; recvfrom/sendto include cancellation bookkeeping,Socket state and guest buffers/length pointers must be updated exactly; inet_ntop writes text output,Use SharpEmu socket handles and guest-memory validation; never return syscall-number constants,0000eb60,115,39,021d3763ebe7852efb17bca61055c0d938ebb94bb5b23ea785f49c69e66742be,13259620fef8dc127c3c575c82a5aa3537d36b838ac685632897e9630b167c7a,true,remote-results/kernel-variants-40x2/job-011/evidence.json
fFxGkxF2bVo,setsockopt,Posix,libkernel,libScePosix,posix_networking,high,medium,Standard named socket ABI; exact Ghidra body/decompile attached,Returns POSIX result or -1 with errno; recvfrom/sendto include cancellation bookkeeping,Socket state and guest buffers/length pointers must be updated exactly; inet_ntop writes text output,Use SharpEmu socket handles and guest-memory validation; never return syscall-number constants,00000ac0,24,7,4511bbf5f0b2b3f76b508d242553f2bb19d85a172970396599ff04ff563e8f17,77af7660891caf19e7330ad1cde2c575e25ea618900b8ddb351c8c7e8771307d,true,remote-results/kernel-variants-40x2/job-012/evidence.json
TUuiYS2kE8s,shutdown,Posix,libkernel,libScePosix,posix_networking,high,medium,Standard named socket ABI; exact Ghidra body/decompile attached,Returns POSIX result or -1 with errno; recvfrom/sendto include cancellation bookkeeping,Socket state and guest buffers/length pointers must be updated exactly; inet_ntop writes text output,Use SharpEmu socket handles and guest-memory validation; never return syscall-number constants,00000ce0,24,7,26b7acbab4fba4560d0662f6ec07ea1e184332f0981f66cfc204d1ee6bad741e,47fb4c9220bb6a25db4a2d973e5b8912cfef43670c25074797c4bdc4e2f77278,true,remote-results/kernel-variants-40x2/job-013/evidence.json
